Application order,Daytime/evening attendance,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Marital status_1,Marital status_2,Application mode_1,Application mode_8,Application mode_12,Application mode_14,Application mode_15,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Course_11,Course_12,Course_14,Course_15,Course_16,Course_17,Previous qualification_1,Previous qualification_12,Previous qualification_14,Nacionality_1,Mother's qualification_1,Mother's qualification_3,Mother's qualification_13,Mother's qualification_22,Mother's qualification_23,Father's qualification_1,Father's qualification_3,Father's qualification_14,Father's qualification_27,Father's qualification_28,Mother's occupation_1,Mother's occupation_3,Mother's occupation_4,Mother's occupation_5,Mother's occupation_6,Mother's occupation_8,Mother's occupation_10,Father's occupation_2,Father's occupation_3,Father's occupation_4,Father's occupation_5,Father's occupation_6,Father's occupation_7,Father's occupation_8,Father's occupation_9,Father's occupation_10,Father's occupation_11,Target
0.0,1,0,0,0,1,0,1,0.022222222222222254,0,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.7593818984547461,0.0,0.0,0.2608695652173913,0.21212121212121213,0.30000000000000004,0.7615384615384615,0.0,0.9186046511627907,0.7999999999999999,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,Graduate
0.0,1,0,0,0,1,1,1,0.13333333333333341,0,0.0,0.19230769230769232,0.13333333333333333,0.19230769230769232,0.6251655629139073,0.0,0.0,0.21739130434782608,0.21212121212121213,0.2,0.7134615384615384,0.08333333333333333,0.37209302325581406,0.4888888888888888,0.7661822985468957,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Graduate
0.0,1,1,0,0,1,0,0,0.06666666666666671,0,0.0,0.19230769230769232,0.2,0.15384615384615385,0.6357615894039735,0.0,0.0,0.21739130434782608,0.30303030303030304,0.25,0.7230769230769231,0.08333333333333333,0.37209302325581406,0.4888888888888888,0.7661822985468957,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,Graduate
0.0,1,0,0,0,1,0,0,0.24444444444444446,0,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.6811731315042574,0.0,0.0,0.2608695652173913,0.24242424242424243,0.25,0.6784615384615383,0.0,0.15116279069767458,0.4888888888888888,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,Graduate
0.0,1,0,0,0,1,0,0,0.022222222222222254,0,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.6799116997792495,0.0,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.6461538461538461,0.0,0.5581395348837211,0.28888888888888886,0.7727873183619551,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,Graduate
0.0,1,1,0,0,1,1,1,0.06666666666666671,0,0.0,0.19230769230769232,0.24444444444444446,0.15384615384615385,0.6357615894039735,0.0,0.0,0.21739130434782608,0.15151515151515152,0.25,0.6892307692307692,0.0,0.40697674418604646,0.3111111111111111,0.8031704095112285,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Graduate
0.0,0,1,0,0,1,1,0,0.6222222222222222,0,0.0,0.23076923076923078,0.15555555555555556,0.23076923076923078,0.7240618101545253,0.0,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.7358974358974358,0.0,0.0,0.7555555555555555,0.5785997357992074,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Graduate
0.0,1,0,0,0,1,0,1,0.04444444444444445,0,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.6887417218543046,0.0,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.7538461538461538,0.0,0.7325581395348838,0.11111111111111112,0.6406869220607662,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,Graduate
0.375,1,1,0,0,1,0,0,0.13333333333333341,0,0.0,0.2692307692307693,0.15555555555555556,0.23076923076923078,0.7309492273730686,0.0,0.0,0.34782608695652173,0.33333333333333337,0.35000000000000003,0.7417307692307692,0.0,0.5581395348837211,0.28888888888888886,0.7727873183619551,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Graduate
0.375,1,1,0,0,1,0,0,0.022222222222222254,0,0.0,0.2692307692307693,0.15555555555555556,0.2692307692307693,0.6206244087038789,0.0,0.0,0.34782608695652173,0.24242424242424243,0.4,0.6865384615384615,0.0,0.5581395348837211,0.28888888888888886,0.7727873183619551,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Graduate
0.0,1,0,0,0,1,1,0,0.022222222222222254,0,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.7190160832544938,0.0,0.0,0.2608695652173913,0.21212121212121213,0.25,0.6353846153846153,0.0,0.15116279069767458,0.4888888888888888,1.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Graduate
0.375,1,1,1,0,1,0,0,0.11111111111111116,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.24444444444444446,0.4147952443857331,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Graduate
0.0,1,0,0,0,1,0,1,0.04444444444444445,0,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.6799116997792495,0.0,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.7269230769230769,0.0,0.9999999999999999,0.24444444444444446,0.4147952443857331,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,Graduate
0.0,1,1,0,0,1,0,0,0.06666666666666671,0,0.0,0.23076923076923078,0.3111111111111111,0.23076923076923078,0.7376464595007641,0.0,0.0,0.2608695652173913,0.2727272727272727,0.30000000000000004,0.7673076923076922,0.0,0.9186046511627907,0.7999999999999999,0.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Graduate
